default,00:00:41.500,41.5,00:00:53.860,53.86,00:00:12.360,12.36,3,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33011_sessie2_taskrobotEngagement.eaf
default,00:00:53.860,53.86,00:00:56.740,56.74,00:00:02.880,2.88,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33011_sessie2_taskrobotEngagement.eaf
default,00:00:56.740,56.74,00:01:03.600,63.6,00:00:06.860,6.86,3,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33011_sessie2_taskrobotEngagement.eaf
default,00:01:03.600,63.6,00:01:06.720,66.72,00:00:03.120,3.12,2,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33011_sessie2_taskrobotEngagement.eaf
default,00:01:06.720,66.72,00:01:08.880,68.88,00:00:02.160,2.16,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33011_sessie2_taskrobotEngagement.eaf
default,00:01:08.880,68.88,00:01:14.380,74.38,00:00:05.500,5.5,3,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33011_sessie2_taskrobotEngagement.eaf
default,00:01:14.380,74.38,00:01:16.670,76.67,00:00:02.290,2.29,2,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33011_sessie2_taskrobotEngagement.eaf
default,00:01:16.670,76.67,00:01:21.960,81.96,00:00:05.290,5.29,3,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33011_sessie2_taskrobotEngagement.eaf
default,00:01:21.960,81.96,00:01:27.121,87.121,00:00:05.161,5.161,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33011_sessie2_taskrobotEngagement.eaf
default,00:01:27.121,87.121,00:01:27.520,87.52,00:00:00.399,0.399,4,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33011_sessie2_taskrobotEngagement.eaf
default,00:00:00.000,0.0,00:00:07.140,7.14,00:00:07.140,7.14,0,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/51014_sessie2_taskrobotEngagement.eaf
default,00:00:07.140,7.14,00:00:20.120,20.12,00:00:12.980,12.98,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/51014_sessie2_taskrobotEngagement.eaf
default,00:00:20.120,20.12,00:00:23.180,23.18,00:00:03.060,3.06,2,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/51014_sessie2_taskrobotEngagement.eaf
default,00:00:23.180,23.18,00:00:25.840,25.84,00:00:02.660,2.66,0,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/51014_sessie2_taskrobotEngagement.eaf
default,00:00:25.840,25.84,00:00:32.860,32.86,00:00:07.020,7.02,3,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/51014_sessie2_taskrobotEngagement.eaf
default,00:00:32.860,32.86,00:00:43.440,43.44,00:00:10.580,10.58,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/51014_sessie2_taskrobotEngagement.eaf
default,00:00:43.440,43.44,00:00:49.460,49.46,00:00:06.020,6.02,3,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/51014_sessie2_taskrobotEngagement.eaf
default,00:00:49.460,49.46,00:00:51.830,51.83,00:00:02.370,2.37,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/51014_sessie2_taskrobotEngagement.eaf
default,00:00:51.830,51.83,00:00:56.540,56.54,00:00:04.710,4.71,3,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/51014_sessie2_taskrobotEngagement.eaf
default,00:00:56.540,56.54,00:00:57.540,57.54,00:00:01.000,1.0,2,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/51014_sessie2_taskrobotEngagement.eaf
default,00:00:57.540,57.54,00:01:16.320,76.32,00:00:18.780,18.78,0,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/51014_sessie2_taskrobotEngagement.eaf
default,00:01:16.320,76.32,00:01:18.280,78.28,00:00:01.960,1.96,3,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/51014_sessie2_taskrobotEngagement.eaf
default,00:01:18.280,78.28,00:01:33.145,93.145,00:00:14.865,14.865,0,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/51014_sessie2_taskrobotEngagement.eaf
default,00:01:33.145,93.145,00:01:39.430,99.43,00:00:06.285,6.285,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/51014_sessie2_taskrobotEngagement.eaf
default,00:01:39.430,99.43,00:01:42.570,102.57,00:00:03.140,3.14,0,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/51014_sessie2_taskrobotEngagement.eaf
default,00:01:42.570,102.57,00:01:56.680,116.68,00:00:14.110,14.11,3,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/51014_sessie2_taskrobotEngagement.eaf
default,00:01:56.680,116.68,00:02:14.880,134.88,00:00:18.200,18.2,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/51014_sessie2_taskrobotEngagement.eaf
default,00:02:14.880,134.88,00:02:21.940,141.94,00:00:07.060,7.06,2,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/51014_sessie2_taskrobotEngagement.eaf
default,00:02:21.940,141.94,00:02:26.200,146.2,00:00:04.260,4.26,4,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/51014_sessie2_taskrobotEngagement.eaf
default,00:02:26.200,146.2,00:02:27.351,147.351,00:00:01.151,1.151,0,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/51014_sessie2_taskrobotEngagement.eaf
default,00:02:27.351,147.351,00:02:27.600,147.6,00:00:00.249,0.249,4,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/51014_sessie2_taskrobotEngagement.eaf
default,00:00:00.000,0.0,00:00:09.197,9.197,00:00:09.197,9.197,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11009_sessie2.eaf
default,00:00:09.197,9.197,00:00:15.097,15.097,00:00:05.900,5.9,3,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11009_sessie2.eaf
default,00:00:15.097,15.097,00:00:27.247,27.247,00:00:12.150,12.15,2,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11009_sessie2.eaf
default,00:00:27.247,27.247,00:00:29.220,29.22,00:00:01.973,1.973,4,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11009_sessie2.eaf
default,00:00:29.220,29.22,00:00:29.970,29.97,00:00:00.750,0.75,2,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11009_sessie2.eaf
default,00:00:29.970,29.97,00:00:59.770,59.77,00:00:29.800,29.8,0,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11009_sessie2.eaf
default,00:00:59.770,59.77,00:01:02.063,62.063,00:00:02.293,2.293,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11009_sessie2.eaf
default,00:01:02.063,62.063,00:01:11.500,71.5,00:00:09.437,9.437,2,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11009_sessie2.eaf
default,00:01:11.500,71.5,00:01:19.777,79.777,00:00:08.277,8.277,4,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11009_sessie2.eaf
default,00:01:19.777,79.777,00:01:34.028,94.028,00:00:14.251,14.251,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11009_sessie2.eaf
default,00:01:34.028,94.028,00:01:35.977,95.977,00:00:01.949,1.949,3,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11009_sessie2.eaf
default,00:01:35.977,95.977,00:01:41.398,101.398,00:00:05.421,5.421,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11009_sessie2.eaf
default,00:01:41.398,101.398,00:01:52.639,112.639,00:00:11.241,11.241,2,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11009_sessie2.eaf
default,00:01:52.639,112.639,00:02:01.303,121.303,00:00:08.664,8.664,0,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11009_sessie2.eaf
default,00:02:01.303,121.303,00:02:01.934,121.934,00:00:00.631,0.631,4,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11009_sessie2.eaf
default,00:00:00.000,0.0,00:00:11.008,11.008,00:00:11.008,11.008,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11012_sessie1.eaf
default,00:00:11.008,11.008,00:00:14.096,14.096,00:00:03.088,3.088,2,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11012_sessie1.eaf
default,00:00:14.096,14.096,00:00:15.803,15.803,00:00:01.707,1.707,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11012_sessie1.eaf
default,00:00:15.803,15.803,00:00:23.029,23.029,00:00:07.226,7.226,2,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11012_sessie1.eaf
default,00:00:23.029,23.029,00:00:25.387,25.387,00:00:02.358,2.358,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11012_sessie1.eaf
default,00:00:25.387,25.387,00:00:26.939,26.939,00:00:01.552,1.552,2,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11012_sessie1.eaf
default,00:00:26.939,26.939,00:00:37.270,37.27,00:00:10.331,10.331,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11012_sessie1.eaf
default,00:00:37.270,37.27,00:00:40.649,40.649,00:00:03.379,3.379,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11012_sessie1.eaf
default,00:00:40.649,40.649,00:00:43.158,43.158,00:00:02.509,2.509,4,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11012_sessie1.eaf
default,00:00:43.158,43.158,00:00:54.991,54.991,00:00:11.833,11.833,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11012_sessie1.eaf
default,00:00:54.991,54.991,00:00:56.057,56.057,00:00:01.066,1.066,3,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11012_sessie1.eaf
default,00:00:56.057,56.057,00:01:06.087,66.087,00:00:10.030,10.03,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11012_sessie1.eaf
default,00:01:06.087,66.087,00:01:07.409,67.409,00:00:01.322,1.322,2,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11012_sessie1.eaf
default,00:01:07.409,67.409,00:01:23.471,83.471,00:00:16.062,16.062,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11012_sessie1.eaf
default,00:01:23.471,83.471,00:01:28.130,88.13,00:00:04.659,4.659,2,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11012_sessie1.eaf
default,00:01:28.130,88.13,00:01:32.125,92.125,00:00:03.995,3.995,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11012_sessie1.eaf
default,00:01:32.125,92.125,00:01:34.056,94.056,00:00:01.931,1.931,2,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11012_sessie1.eaf
default,00:01:34.056,94.056,00:02:04.328,124.328,00:00:30.272,30.272,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11012_sessie1.eaf
default,00:02:04.328,124.328,00:02:05.312,125.312,00:00:00.984,0.984,2,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11012_sessie1.eaf
default,00:02:05.312,125.312,00:02:23.700,143.7,00:00:18.388,18.388,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11012_sessie1.eaf
default,00:02:23.700,143.7,00:02:24.934,144.934,00:00:01.234,1.234,4,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11012_sessie1.eaf
default,00:00:00.000,0.0,00:00:03.751,3.751,00:00:03.751,3.751,3,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11029_sessie2.eaf
default,00:00:03.751,3.751,00:00:09.149,9.149,00:00:05.398,5.398,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11029_sessie2.eaf
default,00:00:09.149,9.149,00:00:11.157,11.157,00:00:02.008,2.008,2,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11029_sessie2.eaf
default,00:00:11.157,11.157,00:00:14.703,14.703,00:00:03.546,3.546,4,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11029_sessie2.eaf
default,00:00:14.703,14.703,00:00:21.773,21.773,00:00:07.070,7.07,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11029_sessie2.eaf
default,00:00:21.773,21.773,00:00:30.621,30.621,00:00:08.848,8.848,2,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11029_sessie2.eaf
default,00:00:30.621,30.621,00:00:33.831,33.831,00:00:03.210,3.21,3,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11029_sessie2.eaf
default,00:00:33.831,33.831,00:00:43.310,43.31,00:00:09.479,9.479,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11029_sessie2.eaf
default,00:00:43.310,43.31,00:00:50.805,50.805,00:00:07.495,7.495,3,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11029_sessie2.eaf
default,00:00:50.805,50.805,00:00:57.617,57.617,00:00:06.812,6.812,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11029_sessie2.eaf
default,00:00:57.617,57.617,00:00:59.148,59.148,00:00:01.531,1.531,2,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11029_sessie2.eaf
default,00:00:59.148,59.148,00:01:13.422,73.422,00:00:14.274,14.274,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11029_sessie2.eaf
default,00:01:13.422,73.422,00:01:14.600,74.6,00:00:01.178,1.178,4,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11029_sessie2.eaf
default,00:01:14.600,74.6,00:01:22.749,82.749,00:00:08.149,8.149,3,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11029_sessie2.eaf
default,00:01:22.749,82.749,00:01:29.857,89.857,00:00:07.108,7.108,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11029_sessie2.eaf
default,00:01:29.857,89.857,00:01:34.903,94.903,00:00:05.046,5.046,2,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11029_sessie2.eaf
default,00:01:34.903,94.903,00:01:36.570,96.57,00:00:01.667,1.667,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11029_sessie2.eaf
default,00:01:36.570,96.57,00:01:49.524,109.524,00:00:12.954,12.954,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11029_sessie2.eaf
default,00:01:49.524,109.524,00:01:59.935,119.935,00:00:10.411,10.411,2,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11029_sessie2.eaf
default,00:01:59.935,119.935,00:02:01.304,121.304,00:00:01.369,1.369,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11029_sessie2.eaf
default,00:02:01.304,121.304,00:02:01.934,121.934,00:00:00.630,0.63,4,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/Proefpersoon11029_sessie2.eaf
